no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,224,2,summer,2019/7/22,10:37:00,23.9,58.73
1,1,25,186,90,0,0.84,2,1,0,2,3,224,2,summer,2019/7/22,10:07:00,24,58.04
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,15:05:00,25.8,46.45
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,15:35:00,25.7,46.7
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,14:35:00,25.7,46.74
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,16:05:00,25.8,46.97
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,16:41:00,25.5,47.13
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,17:11:00,25.6,47.26
2,1,24,172,78,0,1.45,1,0,0,1,2,217,1,summer,2019/7/15,17:41:00,25.5,47.41
2,1,24,172,78,0,1.45,1,0,1,2,1,202,2,summer,2019/7/18,9:37:00,25.7,63.12
2,1,24,172,78,0,1.45,1,0,0.5,2,1,202,2,summer,2019/7/18,10:07:00,25.2,60.94
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/18,10:41:00,25,60.49
2,1,24,172,78,0,1.45,1,0,0.5,1,1,202,2,summer,2019/7/18,15:52:00,24.5,54.96
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/18,11:11:00,24.7,57.17
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/18,11:41:00,24.3,55.72
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/18,12:11:00,24.3,55.3
2,1,24,172,78,0,1.45,1,0,0,1,1,202,2,summer,2019/7/18,14:38:00,25.4,59.95
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/18,16:23:00,24.2,54.86
2,1,24,172,78,0,1.45,1,0,0,1,1,202,2,summer,2019/7/18,16:57:00,24.9,56.4
2,1,24,172,78,0,1.45,1,0,0,1,1,202,2,summer,2019/7/18,17:34:00,25.4,58.72
2,1,24,172,78,0,1.45,1,0,-0.5,2,3,202,2,summer,2019/7/22,9:19:00,25.5,69.56
2,1,24,172,78,0,1.45,1,0,0,1,1,217,1,summer,2019/7/15,11:40:00,26.2,46.67
2,1,24,172,78,0,1.45,1,0,0,1,2,202,2,summer,2019/7/22,9:51:00,25.1,68.27
2,1,24,172,78,0,1.45,1,0,-0.5,1,2,202,2,summer,2019/7/22,10:35:00,24.7,62.94
2,1,24,172,78,0,1.45,1,0,0,1,1,217,1,summer,2019/7/15,12:10:00,26.2,46.97
2,1,24,172,78,0,1.45,1,0,0,1,1,217,1,summer,2019/7/15,11:10:00,26.4,46.63
2,1,24,172,78,0,1.45,1,0,0.5,1,1,217,1,summer,2019/7/15,10:39:00,26.6,47.21
2,1,24,172,78,0,1.45,1,0,0,1,1,202,2,summer,2019/7/22,11:49:00,24.7,68.03
2,1,24,172,78,0,1.45,1,0,2,2,1,217,1,summer,2019/7/15,9:02:00,28.5,54.89
2,1,24,172,78,0,1.45,1,0,1,2,1,217,1,summer,2019/7/15,9:34:00,28.3,52.29
2,1,24,172,78,0,1.45,1,0,0.5,1,1,217,1,summer,2019/7/15,10:04:00,27.1,47.83
2,1,24,172,78,0,1.45,1,0,-0.5,2,3,202,2,summer,2019/7/22,11:19:00,24.4,61.43
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,15:38:00,24.2,57.25
2,1,24,172,78,0,1.45,1,0,1,2,1,202,2,summer,2019/7/22,14:53:00,25.7,62.27
2,1,24,172,78,0,1.45,1,0,0,1,1,202,3,summer,2019/7/23,15:12:00,24.4,57.18
2,1,24,172,78,0,1.45,1,0,0.5,2,2,202,2,summer,2019/7/22,15:23:00,25.6,60.6
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,17:38:00,23.9,58.37
2,1,24,172,78,0,1.45,1,0,0.5,1,1,202,3,summer,2019/7/23,17:00:00,24,57.61
