count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,ta_diff1,ta_diff2,age_avg,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,09:30:00,20.875,17.65,1,0.6963575209102534,0.8249999999999993,0.0,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:00:00,23.4125,15.587499999999999,1,0.2703015499062389,2.5375000000000014,3.3625000000000007,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:30:00,24.5625,14.95,1,0.9119962539487004,1.1499999999999986,3.6875,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:00:00,26.075000000000003,13.900000000000002,1,0.4910942667663467,1.5125000000000028,2.6625000000000014,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:30:00,25.587500000000002,14.987499999999999,1,0.37195139245097264,-0.4875000000000007,1.0250000000000021,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,12:00:00,26.125000000000004,14.65,1,0.46342649323909546,0.5375000000000014,0.05000000000000071,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,14:30:00,26.125,13.1875,1,0.47724411456108334,-3.552713678800501e-15,0.5374999999999979,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:00:00,26.8875,13.962499999999999,1,0.8229529261379589,0.7624999999999993,0.7624999999999957,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:30:00,26.312500000000004,15.2,1,1.1301447498119073,-0.5749999999999957,0.18750000000000355,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,16:00:00,24.6875,17.125,1,0.9829329105117379,-1.6250000000000036,-2.1999999999999993,23.75,175.625,65.625,21.05625,1.4525,2
