ta,hr,tsv
21.799999999999997,54.0,0
21.999999999999996,54.0,0
22.199999999999992,54.0,0
22.39999999999999,54.0,0
22.59999999999999,54.0,0
22.79999999999999,54.0,1
22.99999999999999,54.0,1
23.19999999999999,54.0,1
23.399999999999988,54.0,1
23.599999999999987,54.0,1
23.799999999999983,54.0,1
23.999999999999982,54.0,1
24.199999999999985,54.0,1
24.399999999999984,54.0,1
24.599999999999984,54.0,1
24.799999999999983,54.0,1
24.999999999999982,54.0,1
25.19999999999998,54.0,1
25.39999999999998,54.0,1
25.59999999999998,54.0,2
25.79999999999998,54.0,2
25.99999999999998,54.0,2
26.199999999999974,54.0,2
26.399999999999977,54.0,2
26.599999999999977,54.0,2
26.799999999999976,54.0,2
26.99999999999997,54.0,2
27.19999999999997,54.0,2
