ta,hr,tsv
23.39999999999998,13.0,2
23.59999999999998,13.0,2
23.79999999999998,13.0,2
23.99999999999998,13.0,2
24.199999999999974,13.0,2
24.399999999999977,13.0,2
24.599999999999977,13.0,2
24.799999999999976,13.0,2
24.99999999999997,13.0,2
25.19999999999997,13.0,2
25.399999999999974,13.0,2
25.599999999999973,13.0,2
25.79999999999997,13.0,2
25.99999999999997,13.0,2
26.19999999999997,13.0,2
26.39999999999997,13.0,2
26.59999999999997,13.0,2
26.79999999999997,13.0,2
26.999999999999968,13.0,2
27.199999999999967,13.0,2
27.399999999999967,13.0,2
27.59999999999997,13.0,2
27.799999999999965,13.0,2
18.0,14.0,0
18.2,14.0,0
18.4,14.0,0
18.6,14.0,0
18.8,14.0,1
19.0,14.0,1
19.2,14.0,1
19.399999999999995,14.0,1
19.599999999999994,14.0,1
19.799999999999997,14.0,1
19.999999999999996,14.0,1
20.199999999999992,14.0,1
20.39999999999999,14.0,1
20.59999999999999,14.0,1
20.79999999999999,14.0,1
20.99999999999999,14.0,1
21.19999999999999,14.0,1
21.399999999999988,14.0,1
21.599999999999987,14.0,1
21.799999999999983,14.0,1
21.999999999999982,14.0,1
22.199999999999985,14.0,1
22.399999999999984,14.0,1
22.599999999999984,14.0,1
22.799999999999983,14.0,1
22.999999999999982,14.0,1
23.19999999999998,14.0,1
23.39999999999998,14.0,2
23.59999999999998,14.0,2
23.79999999999998,14.0,2
23.99999999999998,14.0,2
24.199999999999974,14.0,2
24.399999999999977,14.0,2
24.599999999999977,14.0,2
24.799999999999976,14.0,2
24.99999999999997,14.0,2
25.19999999999997,14.0,2
25.399999999999974,14.0,2
25.599999999999973,14.0,2
25.79999999999997,14.0,2
25.99999999999997,14.0,2
26.19999999999997,14.0,2
26.39999999999997,14.0,2
26.59999999999997,14.0,2
26.79999999999997,14.0,2
26.999999999999968,14.0,2
27.199999999999967,14.0,2
27.399999999999967,14.0,2
27.59999999999997,14.0,2
27.799999999999965,14.0,2
18.0,15.0,0
18.2,15.0,0
18.4,15.0,0
18.6,15.0,0
18.8,15.0,1
19.0,15.0,1
19.2,15.0,1
19.399999999999995,15.0,1
19.599999999999994,15.0,1
19.799999999999997,15.0,1
19.999999999999996,15.0,1
20.199999999999992,15.0,1
20.39999999999999,15.0,1
20.59999999999999,15.0,1
