no,gender,age,height,weight,bmi,griffith,ta,hr,tsv
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,60.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,61.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,61.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,62.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,62.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,63.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,63.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,64.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,64.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,65.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,65.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,66.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,66.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,67.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,67.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,68.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,68.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,69.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,69.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,70.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,70.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,71.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,71.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,72.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,72.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,73.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,73.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,74.0,2.0
