ta,hr,season
18.0,16,1
18.2,16,1
18.4,16,1
18.599999999999998,16,1
18.799999999999997,16,1
18.999999999999996,16,1
19.199999999999996,16,1
19.399999999999995,16,1
19.599999999999994,16,1
19.799999999999994,16,1
19.999999999999993,16,1
20.199999999999992,16,1
20.39999999999999,16,1
20.59999999999999,16,1
20.79999999999999,16,1
20.99999999999999,16,1
21.19999999999999,16,1
21.399999999999988,16,1
21.599999999999987,16,1
21.799999999999986,16,1
21.999999999999986,16,1
22.199999999999985,16,1
22.399999999999984,16,1
22.599999999999984,16,1
22.799999999999983,16,1
22.999999999999982,16,1
23.19999999999998,16,1
23.39999999999998,16,1
23.59999999999998,16,1
23.79999999999998,16,1
23.99999999999998,16,1
24.199999999999978,16,1
24.399999999999977,16,1
24.599999999999977,16,1
24.799999999999976,16,1
24.999999999999975,16,1
25.199999999999974,16,1
25.399999999999974,16,1
25.599999999999973,16,1
25.799999999999972,16,1
25.99999999999997,16,1
26.19999999999997,16,1
26.39999999999997,16,1
26.59999999999997,16,1
26.79999999999997,16,1
26.999999999999968,16,1
27.199999999999967,16,1
27.399999999999967,16,1
27.599999999999966,16,1
27.799999999999965,16,1
18.0,17,1
18.2,17,1
18.4,17,1
18.599999999999998,17,1
18.799999999999997,17,1
18.999999999999996,17,1
19.199999999999996,17,1
19.399999999999995,17,1
19.599999999999994,17,1
19.799999999999994,17,1
19.999999999999993,17,1
20.199999999999992,17,1
20.39999999999999,17,1
20.59999999999999,17,1
20.79999999999999,17,1
20.99999999999999,17,1
21.19999999999999,17,1
21.399999999999988,17,1
21.599999999999987,17,1
21.799999999999986,17,1
21.999999999999986,17,1
22.199999999999985,17,1
22.399999999999984,17,1
22.599999999999984,17,1
22.799999999999983,17,1
22.999999999999982,17,1
23.19999999999998,17,1
23.39999999999998,17,1
23.59999999999998,17,1
23.79999999999998,17,1
23.99999999999998,17,1
24.199999999999978,17,1
24.399999999999977,17,1
24.599999999999977,17,1
24.799999999999976,17,1
24.999999999999975,17,1
25.199999999999974,17,1
25.399999999999974,17,1
25.599999999999973,17,1
25.799999999999972,17,1
25.99999999999997,17,1
26.19999999999997,17,1
26.39999999999997,17,1
26.59999999999997,17,1
26.79999999999997,17,1
26.999999999999968,17,1
27.199999999999967,17,1
27.399999999999967,17,1
27.599999999999966,17,1
27.799999999999965,17,1
18.0,18,1
18.2,18,1
18.4,18,1
18.599999999999998,18,1
18.799999999999997,18,1
18.999999999999996,18,1
19.199999999999996,18,1
19.399999999999995,18,1
19.599999999999994,18,1
19.799999999999994,18,1
19.999999999999993,18,1
20.199999999999992,18,1
20.39999999999999,18,1
20.59999999999999,18,1
20.79999999999999,18,1
20.99999999999999,18,1
21.19999999999999,18,1
21.399999999999988,18,1
21.599999999999987,18,1
21.799999999999986,18,1
