no,gender,age,height,weight,ta,hr,season,thermal sensation,bmi,griffith
3,1,23,181,70,24.5,64,0,-0.5,21.37,1.86
3,1,23,181,70,22.7,67,0,-1.2,21.37,1.86
3,1,23,181,70,22.5,60,0,-1.7,21.37,1.86
3,1,23,181,70,26.3,44,0,0.5,21.37,1.86
3,1,23,181,70,26.3,44,0,0.5,21.37,1.86
3,1,23,181,70,25.2,54,0,-0.3,21.37,1.86
3,1,23,181,70,25,52,0,-1,21.37,1.86
3,1,23,181,70,24.6,51,0,-0.7,21.37,1.86
3,1,23,181,70,24.5,52,0,-0.7,21.37,1.86
3,1,23,181,70,25.9,52,0,0,21.37,1.86
3,1,23,181,70,26,57,0,-0.2,21.37,1.86
3,1,23,181,70,26,57,0,-0.2,21.37,1.86
3,1,23,181,70,25.2,53,0,0,21.37,1.86
3,1,23,181,70,24.8,51,0,0,21.37,1.86
3,1,23,181,70,24.7,53,0,0,21.37,1.86
3,1,23,181,70,24.3,50,0,-0.8,21.37,1.86
3,1,23,181,70,25.9,52,0,0,21.37,1.86
3,1,23,181,70,26.5,53,0,0,21.37,1.86
3,1,23,181,70,24.9,54,0,-0.8,21.37,1.86
3,1,23,181,70,23.4,61,0,-1.2,21.37,1.86
3,1,23,181,70,26.5,53,0,0,21.37,1.86
3,1,23,181,70,25.2,53,0,0,21.37,1.86
3,1,23,181,70,25.1,52,0,-0.5,21.37,1.86
3,1,23,181,70,25.2,51,0,0,21.37,1.86
3,1,23,181,70,25,51,0,-0.5,21.37,1.86
3,1,23,181,70,24.7,51,0,-1,21.37,1.86
3,1,23,181,70,24.4,53,0,-0.9,21.37,1.86
3,1,23,181,70,25.2,52,0,0,21.37,1.86
3,1,23,181,70,25.1,54,0,0,21.37,1.86
3,1,23,181,70,26.7,58,0,0.3,21.37,1.86
3,1,23,181,70,26.3,59,0,0.3,21.37,1.86
3,1,23,181,70,26,59,0,0.2,21.37,1.86
3,1,23,181,70,25.5,60,0,0.3,21.37,1.86
3,1,23,181,70,24.3,55,0,-1.1,21.37,1.86
3,1,23,181,70,25,60,0,0,21.37,1.86
4,0,22,162,53,23.9,52,0,-2.5,20.2,0.52
4,0,22,162,53,24.2,49,0,-2,20.2,0.52
4,0,22,162,53,27.4,57,0,1.5,20.2,0.52
4,0,22,162,53,23.9,54,0,-3,20.2,0.52
4,0,22,162,53,27.2,60,0,0.5,20.2,0.52
4,0,22,162,53,24,50,0,-1,20.2,0.52
4,0,22,162,53,22.8,50,0,-2,20.2,0.52
4,0,22,162,53,22.6,51,0,-2.5,20.2,0.52
4,0,22,162,53,27.9,55,0,1,20.2,0.52
4,0,22,162,53,26.6,58,0,0.5,20.2,0.52
4,0,22,162,53,26.1,56,0,0,20.2,0.52
4,0,22,162,53,28.2,56,0,1.5,20.2,0.52
4,0,22,162,53,26.8,49,0,2,20.2,0.52
4,0,22,162,53,28.2,58,0,3,20.2,0.52
4,0,22,162,53,24.4,50,0,0,20.2,0.52
4,0,22,162,53,24.4,50,0,0,20.2,0.52
4,0,22,162,53,26.6,50,0,-1,20.2,0.52
4,0,22,162,53,27.2,46,0,-1.5,20.2,0.52
4,0,22,162,53,24.3,49,0,-3,20.2,0.52
4,0,22,162,53,23.9,50,0,-3,20.2,0.52
4,0,22,162,53,25,52,0,0,20.2,0.52
4,0,22,162,53,27.9,48,0,1.5,20.2,0.52
4,0,22,162,53,25.9,48,0,-2,20.2,0.52
4,0,22,162,53,23.2,46,0,-2,20.2,0.52
4,0,22,162,53,23.1,46,0,0,20.2,0.52
4,0,22,162,53,22.4,49,0,-1,20.2,0.52
4,0,22,162,53,25,47,0,-1.5,20.2,0.52
4,0,22,162,53,25.9,46,0,0.5,20.2,0.52
4,0,22,162,53,26.3,46,0,1.5,20.2,0.52
4,0,22,162,53,27.3,53,0,2,20.2,0.52
4,0,22,162,53,25,49,0,3,20.2,0.52
4,0,22,162,53,26,46,0,-0.5,20.2,0.52
4,0,22,162,53,23.8,47,0,3,20.2,0.52
4,0,22,162,53,24.8,44,0,3,20.2,0.52
4,0,22,162,53,25.3,45,0,1,20.2,0.52
4,0,22,162,53,25.8,47,0,2,20.2,0.52
4,0,22,162,53,25.9,47,0,0.5,20.2,0.52
4,0,22,162,53,25.9,48,0,-1,20.2,0.52
4,0,22,162,53,26.1,47,0,-0.5,20.2,0.52
4,0,22,162,53,25.9,47,0,-0.5,20.2,0.52
4,0,22,162,53,25.9,48,0,-2,20.2,0.52
4,0,22,162,53,25.9,48,0,-2,20.2,0.52
4,0,22,162,53,25.4,48,0,0,20.2,0.52
4,0,22,162,53,25.9,48,0,-2,20.2,0.52
4,0,22,162,53,25.9,48,0,-2,20.2,0.52
4,0,22,162,53,29.3,52,0,3,20.2,0.52
4,0,22,162,53,27.5,46,0,0.5,20.2,0.52
4,0,22,162,53,26.1,44,0,0,20.2,0.52
4,0,22,162,53,23.9,47,0,-1,20.2,0.52
4,0,22,162,53,24.2,54,0,-2,20.2,0.52
4,0,22,162,53,25.2,58,0,0,20.2,0.52
4,0,22,162,53,25.7,59,0,0,20.2,0.52
4,0,22,162,53,22.4,64,0,-1.5,20.2,0.52
4,0,22,162,53,22.6,56,0,-1.5,20.2,0.52
4,0,22,162,53,25.7,60,0,0,20.2,0.52
4,0,22,162,53,25.9,60,0,2,20.2,0.52
4,0,22,162,53,26.1,60,0,2,20.2,0.52
4,0,22,162,53,25,58,0,0,20.2,0.52
4,0,22,162,53,24.6,60,0,-1,20.2,0.52
4,0,22,162,53,24.8,53,0,-1,20.2,0.52
4,0,22,162,53,26.1,59,0,2.5,20.2,0.52
4,0,22,162,53,26,60,0,0,20.2,0.52
4,0,22,162,53,26.3,62,0,-0.5,20.2,0.52
4,0,22,162,53,27.9,56,0,2,20.2,0.52
4,0,22,162,53,24.9,48,0,1,20.2,0.52
4,0,22,162,53,25.9,47,0,0.5,20.2,0.52
4,0,22,162,53,27.5,47,0,0.5,20.2,0.52
4,0,22,162,53,27.7,48,0,2.5,20.2,0.52
4,0,22,162,53,27,50,0,0.5,20.2,0.52
4,0,22,162,53,25.3,43,0,-1.5,20.2,0.52
4,0,22,162,53,22.1,62,0,1,20.2,0.52
4,0,22,162,53,26.4,60,0,2,20.2,0.52
4,0,22,162,53,22.9,58,0,-0.5,20.2,0.52
4,0,22,162,53,24.4,56,0,-1,20.2,0.52
4,0,22,162,53,22.1,58,0,2.5,20.2,0.52
4,0,22,162,53,23,57,0,0.5,20.2,0.52
4,0,22,162,53,25,56,0,1,20.2,0.52
4,0,22,162,53,25.6,56,0,1.5,20.2,0.52
4,0,22,162,53,26,57,0,0,20.2,0.52
4,0,22,162,53,26.4,57,0,0,20.2,0.52
